Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID,Pathway
0.133812228,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal
0.131929044,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal
0.089771731,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal
0.10027683,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal
0.102802639,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal
0.160195313,Dorsal_R,2,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal
0.10931989,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal
0.090785088,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal
0.131589897,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal
0.113853542,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal
0.144018593,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal
0.108549716,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal
0.14166234,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal
0.151207626,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal
0.116439494,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal
0.122419829,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal
0.141570325,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal
0.180323361,Dorsal_L,1,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal
0.139087134,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub1,Dorsal
0.098103207,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub2,Dorsal
0.140908344,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub3,Dorsal
0.066552445,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub4,Dorsal
0.128547399,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub5,Dorsal
0.099533161,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub6,Dorsal
0.146159995,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub7,Dorsal
0.149616551,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub8,Dorsal
0.088834638,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub9,Dorsal
0.10559937,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub10,Dorsal
0.097431405,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub11,Dorsal
0.155706665,Dorsal_L,2,Semantic,Sensitivity_limited,Semantic_sub12,Dorsal
0.084772535,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub1,Ventral
0.129190319,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub2,Ventral
0.096250043,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub3,Ventral
0.082783783,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub4,Ventral
0.099371729,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub5,Ventral
0.123891026,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub6,Ventral
0.199615887,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub7,Ventral
0.124674975,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub8,Ventral
0.11736903,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub9,Ventral
0.08814151,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub10,Ventral
0.1180212,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub11,Ventral
0.104151096,Ventral_R,1,Novel,Sensitivity_limited,Novel_sub12,Ventral
0.074888092,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub1,Ventral
0.159569039,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub2,Ventral
0.097494126,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub3,Ventral
0.065063897,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub4,Ventral
0.105432517,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub5,Ventral
0.133531433,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub6,Ventral
0.126308153,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub7,Ventral
0.13370971,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub8,Ventral
0.101079736,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub9,Ventral
0.08672882,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub10,Ventral
0.142773914,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub11,Ventral
0.087673698,Ventral_R,2,Novel,Sensitivity_limited,Novel_sub12,Ventral
0.07972296,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub1,Ventral
0.143973823,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub2,Ventral
0.126971016,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub3,Ventral
0.110742532,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub4,Ventral
0.152587404,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub5,Ventral
0.140473653,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub6,Ventral
0.158335733,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub7,Ventral
0.15764796,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub8,Ventral
0.126387564,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub9,Ventral
0.08793457,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub10,Ventral
0.116079589,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub11,Ventral
0.144128382,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub12,Ventral
0.074984338,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub1,Ventral
0.156419651,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub2,Ventral
0.101823914,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub3,Ventral
0.081822592,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub4,Ventral
0.100746427,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub5,Ventral
0.161735812,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub6,Ventral
0.109647921,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub7,Ventral
0.15573789,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub8,Ventral
0.110903269,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub9,Ventral
0.078679087,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub10,Ventral
0.132452325,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub11,Ventral
0.079972022,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub12,Ventral
0.068563368,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub1,Dorsal
0.142715302,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub2,Dorsal
0.099173907,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub3,Dorsal
0.026304473,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub4,Dorsal
0.125456717,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub5,Dorsal
0.108260802,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub6,Dorsal
0.108317,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub7,Dorsal
