Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_Full,ID,Hemi,Pathway
-0.553085244,Dorsal_R,2,Novel,Components,Novel_sub3,sub3,Right,Dorsal
-0.384746471,Dorsal_R,2,Novel,Components,Novel_sub4,sub4,Right,Dorsal
-0.670290427,Dorsal_R,2,Novel,Components,Novel_sub5,sub5,Right,Dorsal
-0.554744811,Dorsal_R,2,Novel,Components,Novel_sub6,sub6,Right,Dorsal
-0.281917138,Dorsal_R,2,Novel,Components,Novel_sub7,sub7,Right,Dorsal
-0.600647195,Dorsal_R,2,Novel,Components,Novel_sub8,sub8,Right,Dorsal
-0.347738447,Dorsal_R,2,Novel,Components,Novel_sub9,sub9,Right,Dorsal
-0.030516473,Dorsal_R,2,Novel,Components,Novel_sub10,sub10,Right,Dorsal
-0.493997113,Dorsal_R,2,Novel,Components,Novel_sub11,sub11,Right,Dorsal
-0.724542547,Dorsal_R,2,Novel,Components,Novel_sub12,sub12,Right,Dorsal
0.778254908,Dorsal_L,1,Novel,Components,Novel_sub1,sub1,Left,Dorsal
0.667938261,Dorsal_L,1,Novel,Components,Novel_sub2,sub2,Left,Dorsal
0.953166549,Dorsal_L,1,Novel,Components,Novel_sub3,sub3,Left,Dorsal
-0.384940189,Dorsal_L,1,Novel,Components,Novel_sub4,sub4,Left,Dorsal
0.683030508,Dorsal_L,1,Novel,Components,Novel_sub5,sub5,Left,Dorsal
0.815988417,Dorsal_L,1,Novel,Components,Novel_sub6,sub6,Left,Dorsal
0.84289099,Dorsal_L,1,Novel,Components,Novel_sub7,sub7,Left,Dorsal
0.65243558,Dorsal_L,1,Novel,Components,Novel_sub8,sub8,Left,Dorsal
0.835149466,Dorsal_L,1,Novel,Components,Novel_sub9,sub9,Left,Dorsal
1.14795211,Dorsal_L,1,Novel,Components,Novel_sub10,sub10,Left,Dorsal
0.901045796,Dorsal_L,1,Novel,Components,Novel_sub11,sub11,Left,Dorsal
0.772911102,Dorsal_L,1,Novel,Components,Novel_sub12,sub12,Left,Dorsal
-0.375822603,Dorsal_L,2,Novel,Components,Novel_sub1,sub1,Left,Dorsal
-0.368842202,Dorsal_L,2,Novel,Components,Novel_sub2,sub2,Left,Dorsal
-0.199564474,Dorsal_L,2,Novel,Components,Novel_sub3,sub3,Left,Dorsal
0.36170029,Dorsal_L,2,Novel,Components,Novel_sub4,sub4,Left,Dorsal
-0.269043627,Dorsal_L,2,Novel,Components,Novel_sub5,sub5,Left,Dorsal
0.054573184,Dorsal_L,2,Novel,Components,Novel_sub6,sub6,Left,Dorsal
-0.405090759,Dorsal_L,2,Novel,Components,Novel_sub7,sub7,Left,Dorsal
-0.494305564,Dorsal_L,2,Novel,Components,Novel_sub8,sub8,Left,Dorsal
-0.436932402,Dorsal_L,2,Novel,Components,Novel_sub9,sub9,Left,Dorsal
-0.171923408,Dorsal_L,2,Novel,Components,Novel_sub10,sub10,Left,Dorsal
-0.271043507,Dorsal_L,2,Novel,Components,Novel_sub11,sub11,Left,Dorsal
-0.509606456,Dorsal_L,2,Novel,Components,Novel_sub12,sub12,Left,Dorsal
