Betas,ROI_Location,Component_Value,Object_Type,Measurement_Type,ID_FULL,Pathway,Hemi,ID
0.144128382,Ventral_L,1,Novel,Sensitivity_limited,Novel_sub12,Ventral,Left,sub12
0.074984338,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub1,Ventral,Left,sub1
0.156419651,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub2,Ventral,Left,sub2
0.101823914,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub3,Ventral,Left,sub3
0.081822592,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub4,Ventral,Left,sub4
0.100746427,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub5,Ventral,Left,sub5
0.161735812,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub6,Ventral,Left,sub6
0.109647921,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub7,Ventral,Left,sub7
0.15573789,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub8,Ventral,Left,sub8
0.110903269,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub9,Ventral,Left,sub9
0.078679087,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub10,Ventral,Left,sub10
0.132452325,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub11,Ventral,Left,sub11
0.079972022,Ventral_L,2,Novel,Sensitivity_limited,Novel_sub12,Ventral,Left,sub12
0.068563368,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub1,Dorsal,Right,sub1
0.142715302,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub2,Dorsal,Right,sub2
0.099173907,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub3,Dorsal,Right,sub3
0.026304473,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub4,Dorsal,Right,sub4
0.125456717,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub5,Dorsal,Right,sub5
0.108260802,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub6,Dorsal,Right,sub6
0.108317,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub7,Dorsal,Right,sub7
0.114199609,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub8,Dorsal,Right,sub8
0.090204552,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub9,Dorsal,Right,sub9
0.033447333,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub10,Dorsal,Right,sub10
0.116215327,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub11,Dorsal,Right,sub11
0.046877535,Dorsal_R,1,Novel,Sensitivity_limited,Novel_sub12,Dorsal,Right,sub12
0.077277214,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub1,Dorsal,Right,sub1
0.186186852,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub2,Dorsal,Right,sub2
0.116884491,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub3,Dorsal,Right,sub3
0.044426332,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub4,Dorsal,Right,sub4
0.084874538,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub5,Dorsal,Right,sub5
0.108704578,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub6,Dorsal,Right,sub6
0.131428076,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub7,Dorsal,Right,sub7
0.114393253,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub8,Dorsal,Right,sub8
0.093945803,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub9,Dorsal,Right,sub9
0.079774541,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub10,Dorsal,Right,sub10
0.151816836,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub11,Dorsal,Right,sub11
0.069590027,Dorsal_R,2,Novel,Sensitivity_limited,Novel_sub12,Dorsal,Right,sub12
0.072676107,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub1,Dorsal,Left,sub1
0.157468148,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub2,Dorsal,Left,sub2
0.10538484,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub3,Dorsal,Left,sub3
0.063566007,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub4,Dorsal,Left,sub4
0.132605395,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub5,Dorsal,Left,sub5
0.039220006,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub6,Dorsal,Left,sub6
0.095597105,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub7,Dorsal,Left,sub7
0.139373007,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub8,Dorsal,Left,sub8
0.078443164,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub9,Dorsal,Left,sub9
0.034674859,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub10,Dorsal,Left,sub10
0.10452577,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub11,Dorsal,Left,sub11
0.023775494,Dorsal_L,1,Novel,Sensitivity_limited,Novel_sub12,Dorsal,Left,sub12
0.091746198,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub1,Dorsal,Left,sub1
0.186302469,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub2,Dorsal,Left,sub2
0.109892612,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub3,Dorsal,Left,sub3
0.043799547,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub4,Dorsal,Left,sub4
0.097199557,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub5,Dorsal,Left,sub5
0.077079918,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub6,Dorsal,Left,sub6
0.108088633,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub7,Dorsal,Left,sub7
0.131899978,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub8,Dorsal,Left,sub8
0.087137447,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub9,Dorsal,Left,sub9
0.056486364,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub10,Dorsal,Left,sub10
0.121445988,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub11,Dorsal,Left,sub11
0.044870767,Dorsal_L,2,Novel,Sensitivity_limited,Novel_sub12,Dorsal,Left,sub12
