IMAGE_Num,Scramble,time,width,height,fix_time,Path,,,Shanaa,Raphael,Charlene,Holly,Alfred,Maria,Samantha,Katie,Mike,Marco,Tasfia,Emily
79,4,0.65,700,700,10,stim/4_stim_obj79.tif,,,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone ,cone
35,16,0.65,700,700,10,stim/16_stim_obj35.tif,,,watch,watch ,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch
52,16,0.65,700,700,10,stim/16_stim_obj52.tif,,,no idea,no idea,cd holder,no idea,cd holder,no idea,mirror,no idea,basketball net,cd holder,cd holder,no idea
13,256,0.65,700,700,10,stim/256_stim_obj13.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
34,256,0.65,700,700,10,stim/256_stim_obj34.tif,,,no idea,no idea,floppy disk,no idea,no idea,no idea,outlet,no idea,no idea,no idea,no idea,no idea
45,64,0.65,700,700,10,stim/64_stim_obj45.tif,,,box,no idea,box,no idea,box,no idea,no idea,box,no idea,box,no idea,no idea
5,4,0.65,700,700,10,stim/4_stim_obj5.tif,,,barrel,barrel ,barrel,barrel,barrel,barrel,barrel,barrel,barrel,barrel,barrel,barrel
57,16,0.65,700,700,10,stim/16_stim_obj57.tif,,,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk ,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk ,floppy disk
64,4,0.65,700,700,10,stim/4_stim_obj64.tif,,,jar,no idea,no idea,jar,jar,jar,jar,jar,jar,jar,jar,jar
67,1,0.65,700,700,10,stim/1_stim_obj67.tif,,,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon
39,16,0.65,700,700,10,stim/16_stim_obj39.tif,,,button,no idea,button,no idea,button,button,button,button,button,no idea,button,button
77,1,0.65,700,700,10,stim/1_stim_obj77.tif,,,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox
53,64,0.65,700,700,10,stim/64_stim_obj53.tif,,,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables
2,1,0.65,700,700,10,stim/1_stim_obj2.tif,,,flower,flower,flower,flower,flower,flower,flower,flower,flower,flower,flower,flower
23,256,0.65,700,700,10,stim/256_stim_obj23.tif,,,no idea,no idea,flower,no idea,no idea,no idea,flower,no idea,no idea,no idea,no idea,no idea
33,1,0.65,700,700,10,stim/1_stim_obj33.tif,,,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball
41,256,0.65,700,700,10,stim/256_stim_obj41.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
39,1,0.65,700,700,10,stim/1_stim_obj39.tif,,,button,button ,button,button,button,button,button,button,button,button,button ,button
34,64,0.65,700,700,10,stim/64_stim_obj34.tif,,,no idea,no idea,floppy disk,no idea,no idea,no idea,outlet,floppy disk,battery,no idea,floppy disk ,floppy disk
59,64,0.65,700,700,10,stim/64_stim_obj59.tif,,,no idea,no idea,no idea,presents,no idea,presents,presents,no idea,no idea,no idea,no idea,no idea
46,64,0.65,700,700,10,stim/64_stim_obj46.tif,,,clock,no idea,clock,scale,no idea,clock,clock,no idea,no idea,no idea,no idea,scale
23,64,0.65,700,700,10,stim/64_stim_obj23.tif,,,no idea,no idea,no idea,tent,flower,no idea,no idea,tent,no idea,no idea,no idea,no idea
34,4,0.65,700,700,10,stim/4_stim_obj34.tif,,,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine
57,256,0.65,700,700,10,stim/256_stim_obj57.tif,,,no idea,no idea,floppy disk,no idea,floppy disk ,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk,no idea,floppy disk
18,1,0.65,700,700,10,stim/1_stim_obj18.tif,,,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear
16,256,0.65,700,700,10,stim/256_stim_obj16.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,kids toy,kids toy,no idea,no idea,no idea ,no idea
22,1,0.65,700,700,10,stim/1_stim_obj22.tif,,,tape,tape,tape,tape,tape,tape,tape,tape,tape,tape,tape,tape
52,4,0.65,700,700,10,stim/4_stim_obj52.tif,,,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder,cd holder
29,256,0.65,700,700,10,stim/256_stim_obj29.tif,,,no idea,no idea,toque,toque,toque,toque,toque,toque,toque,toque,toque,toque
27,64,0.65,700,700,10,stim/64_stim_obj27.tif,,,train,train ,train,train,train,train,train,train,train,no idea,train,train
44,4,0.65,700,700,10,stim/4_stim_obj44.tif,,,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne
46,16,0.65,700,700,10,stim/16_stim_obj46.tif,,,clock,clock ,clock,no idea,clock,clock,clock,clock,clock,clock,clock,clock
72,256,0.65,700,700,10,stim/256_stim_obj72.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
7,256,0.65,700,700,10,stim/256_stim_obj7.tif,,,birds nest,no idea,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,peanuts,birds nest,no idea
7,1,0.65,700,700,10,stim/1_stim_obj7.tif,,,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest
38,256,0.65,700,700,10,stim/256_stim_obj38.tif,,,no idea,no idea,no idea,no idea,floppy disk ,no idea,no idea,no idea,button,no idea,no idea,no idea
8,1,0.65,700,700,10,stim/1_stim_obj8.tif,,,belt,belt ,belt,belt,belt,belt,belt,belt,belt,belt,belt ,belt
39,64,0.65,700,700,10,stim/64_stim_obj39.tif,,,button,button,button,button,button,button,button,button,button,button,button ,button
31,64,0.65,700,700,10,stim/64_stim_obj31.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,kleenex,kleenex,no idea,flower,no idea
70,16,0.65,700,700,10,stim/16_stim_obj70.tif,,,clock,no idea,clock,clock,no idea,clock,no idea,clock,no idea,no idea,no idea,clock
67,256,0.65,700,700,10,stim/256_stim_obj67.tif,,,lemon,no idea,no idea,no idea,no idea,no idea,lemon,no idea,no idea,no idea,no idea,lemon
10,1,0.65,700,700,10,stim/1_stim_obj10.tif,,,shell,shell ,shell,shell,shell,shell,shell,shell,shell,shell,shell ,shell
80,16,0.65,700,700,10,stim/16_stim_obj80.tif,,,boombox,boombox,boombox,no idea,no idea,boombox,boombox,no idea,boombox,boombox,stool ,no idea
12,64,0.65,700,700,10,stim/64_stim_obj12.tif,,,shoe,shoe,shoe,no idea,no idea,shoe,shoe,shoe,shoe,shoe,shoe,shoe
77,64,0.65,700,700,10,stim/64_stim_obj77.tif,,,no idea,mailbox,mailbox,mailbox,mailbox,no idea,mailbox,mailbox,mailbox,mailbox,no idea,mailbox
31,4,0.65,700,700,10,stim/4_stim_obj31.tif,,,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,stool ,kleenex
78,16,0.65,700,700,10,stim/16_stim_obj78.tif,,,no idea,printer,printer,no idea,no idea,printer,printer,printer,printer,printer,printer,no idea
41,4,0.65,700,700,10,stim/4_stim_obj41.tif,,,candle,no idea,no idea,no idea,no idea,button,candle,candle,no idea,candle,no idea,candle
69,256,0.65,700,700,10,stim/256_stim_obj69.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
60,16,0.65,700,700,10,stim/16_stim_obj60.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
50,256,0.65,700,700,10,stim/256_stim_obj50.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,birds nest,shell,peanuts,no idea,no idea
79,16,0.65,700,700,10,stim/16_stim_obj79.tif,,,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone
18,16,0.65,700,700,10,stim/16_stim_obj18.tif,,,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,no idea,teddy bear,no idea,no idea,shell ,teddy bear
58,1,0.65,700,700,10,stim/1_stim_obj58.tif,,,stool,stool ,stool,stool,stool ,stool ,stool ,stool,stool ,stool,stool ,stool 
31,256,0.65,700,700,10,stim/256_stim_obj31.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
7,64,0.65,700,700,10,stim/64_stim_obj7.tif,,,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest
72,4,0.65,700,700,10,stim/4_stim_obj72.tif,,,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother
56,4,0.65,700,700,10,stim/4_stim_obj56.tif,,,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop
47,1,0.65,700,700,10,stim/1_stim_obj47.tif,,,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans
64,64,0.65,700,700,10,stim/64_stim_obj64.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,soother,jar,no idea,no idea,no idea,no idea
68,4,0.65,700,700,10,stim/4_stim_obj68.tif,,,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net
22,16,0.65,700,700,10,stim/16_stim_obj22.tif,,,tape,tape,tape,tape,no idea,tape,tape,tape,tape,no idea,tape,tape
46,1,0.65,700,700,10,stim/1_stim_obj46.tif,,,clock,clock ,clock,clock,clock ,clock,clock,clock,clock,clock,clock ,clock
35,64,0.65,700,700,10,stim/64_stim_obj35.tif,,,watch,watch ,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch
60,1,0.65,700,700,10,stim/1_stim_obj60.tif,,,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat
9,4,0.65,700,700,10,stim/4_stim_obj9.tif,,,scale,scale,scale,scale,scale,scale,scale,scale,scale,scale,scale,scale
53,256,0.65,700,700,10,stim/256_stim_obj53.tif,,,no idea,no idea,cables,no idea,coffee beans,coffee beans,cables,coffee beans,coffee beans,coffee beans,flower,no idea
28,64,0.65,700,700,10,stim/64_stim_obj28.tif,,,tupperwear,no idea,tupperwear,no idea,no idea,tupperwear,tupperwear,scale,tupperwear,tupperwear,scale,tupperwear
59,4,0.65,700,700,10,stim/4_stim_obj59.tif,,,presents,presents,presents,presents,presents,presents,presents,presents,presents,presents,presents,presents
44,256,0.65,700,700,10,stim/256_stim_obj44.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
77,4,0.65,700,700,10,stim/4_stim_obj77.tif,,,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox
63,1,0.65,700,700,10,stim/1_stim_obj63.tif,,,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe
3,16,0.65,700,700,10,stim/16_stim_obj3.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,tv router,no idea,no idea,scale,no idea
14,256,0.65,700,700,10,stim/256_stim_obj14.tif,,,no idea,no idea,speaker,no idea,no idea,no idea,no idea,speaker,shoe,no idea,no idea,speaker
40,16,0.65,700,700,10,stim/16_stim_obj40.tif,,,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra
48,4,0.65,700,700,10,stim/4_stim_obj48.tif,,,change,change,change,change,change,change,change,change,change,change,change,change
49,4,0.65,700,700,10,stim/4_stim_obj49.tif,,,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler
76,16,0.65,700,700,10,stim/16_stim_obj76.tif,,,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot
7,4,0.65,700,700,10,stim/4_stim_obj7.tif,,,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest,birds nest
3,1,0.65,700,700,10,stim/1_stim_obj3.tif,,,tv router,tv router,tv router,tv router,tv router,tv router,tv router,tv router,tv router,tv router,tv router,tv router
60,4,0.65,700,700,10,stim/4_stim_obj60.tif,,,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat,hard hat
27,1,0.65,700,700,10,stim/1_stim_obj27.tif,,,train,train,train,train,train,train,train,train,train,train,train ,train
53,16,0.65,700,700,10,stim/16_stim_obj53.tif,,,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables
51,16,0.65,700,700,10,stim/16_stim_obj51.tif,,,desk,table ,desk,desk,desk,desk,desk,desk,desk,desk,desk ,desk 
28,256,0.65,700,700,10,stim/256_stim_obj28.tif,,,no idea,no idea,cables,no idea,no idea,tupperwear,tupperwear,no idea,no idea,tupperwear,flower,no idea
19,4,0.65,700,700,10,stim/4_stim_obj19.tif,,,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag
51,256,0.65,700,700,10,stim/256_stim_obj51.tif,,,no idea,no idea,no idea,desk,no idea,no idea,desk,cooler,desk,no idea,no idea,no idea
54,64,0.65,700,700,10,stim/64_stim_obj54.tif,,,no idea,no idea,no idea,faucet,coffee beans,no idea,no idea,no idea,googles,no idea,coffee beans,no idea
17,4,0.65,700,700,10,stim/4_stim_obj17.tif,,,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket
6,64,0.65,700,700,10,stim/64_stim_obj6.tif,,,no idea,no idea,battery,no idea,no idea,no idea,battery,no idea,no idea,no idea,shoe,no idea
40,256,0.65,700,700,10,stim/256_stim_obj40.tif,,,candelabra,no idea,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,no idea,candelabra
8,4,0.65,700,700,10,stim/4_stim_obj8.tif,,,belt,belt ,belt,belt,belt,belt,belt,belt,belt,belt,belt ,belt
60,64,0.65,700,700,10,stim/64_stim_obj60.tif,,,no idea,no idea,hard hat,soother,no idea,no idea,hard hat,no idea,hard hat,no idea,cone,hard hat
58,256,0.65,700,700,10,stim/256_stim_obj58.tif,,,no idea,no idea,no idea,no idea,flower,no idea,no idea,no idea,no idea,coffee beans,no idea,no idea
23,4,0.65,700,700,10,stim/4_stim_obj23.tif,,,tent,tent,tent,tent,tent,tent,tent,tent,tent,tent,tent ,tent
14,16,0.65,700,700,10,stim/16_stim_obj14.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,no idea,speaker
1,256,0.65,700,700,10,stim/256_stim_obj1.tif,,,ac unit,ac unit,ac unit,no idea,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit
46,4,0.65,700,700,10,stim/4_stim_obj46.tif,,,clock,clock ,clock,clock,clock,clock,clock,clock,clock,clock,clock ,clock
77,16,0.65,700,700,10,stim/16_stim_obj77.tif,,,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox,mailbox
71,256,0.65,700,700,10,stim/256_stim_obj71.tif,,,outlet,outlet,no idea,no idea,no idea,no idea,outlet,no idea,outlet,outlet,no idea,no idea
64,1,0.65,700,700,10,stim/1_stim_obj64.tif,,,jar,jar,jar,jar,jar,jar,jar,jar,jar,jar,jar,jar
70,4,0.65,700,700,10,stim/4_stim_obj70.tif,,,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock ,clock
52,64,0.65,700,700,10,stim/64_stim_obj52.tif,,,no idea,kids toy,no idea,no idea,no idea,no idea,no idea,kids toy,kids toy,no idea,shoe,no idea
22,4,0.65,700,700,10,stim/4_stim_obj22.tif,,,tape,tape,tape,tape,tape,tape,tape,tape,tape,tape,tape,tape
40,64,0.65,700,700,10,stim/64_stim_obj40.tif,,,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra
8,64,0.65,700,700,10,stim/64_stim_obj8.tif,,,belt,belt ,belt,belt,belt,belt,belt,belt,belt,belt,belt ,belt
50,1,0.65,700,700,10,stim/1_stim_obj50.tif,,,couch,couch,couch,couch,couch,couch,couch,couch,couch,couch,couch,couch
12,4,0.65,700,700,10,stim/4_stim_obj12.tif,,,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe
46,256,0.65,700,700,10,stim/256_stim_obj46.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,clock,no idea,no idea,no idea,no idea,no idea
21,256,0.65,700,700,10,stim/256_stim_obj21.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,table,no idea,couch,couch,no idea,table
73,64,0.65,700,700,10,stim/64_stim_obj73.tif,,,peanuts,no idea,peanuts,peanuts,peanuts,no idea,peanuts,peanuts,teddy bear,peanuts,shell ,no idea
71,1,0.65,700,700,10,stim/1_stim_obj71.tif,,,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet
37,64,0.65,700,700,10,stim/64_stim_obj37.tif,,,box,box,box,no idea,box,box,box,box,no idea,box,no idea,no idea
43,16,0.65,700,700,10,stim/16_stim_obj43.tif,,,mirror,soother,mirror,no idea,no idea,no idea,tupperwear,mirror,mirror,tupperwear,no idea,mirror
72,64,0.65,700,700,10,stim/64_stim_obj72.tif,,,no idea,no idea,no idea,soother,soother,soother,soother,soother,soother,soother,soother,no idea
42,256,0.65,700,700,10,stim/256_stim_obj42.tif,,,car,car,car,no idea,no idea,car,train,no idea,car,no idea,no idea,car
67,16,0.65,700,700,10,stim/16_stim_obj67.tif,,,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon,lemon ,lemon
36,1,0.65,700,700,10,stim/1_stim_obj36.tif,,,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
45,16,0.65,700,700,10,stim/16_stim_obj45.tif,,,box,no idea,box,no idea,box,box,box,box,box,box,box ,box
66,1,0.65,700,700,10,stim/1_stim_obj66.tif,,,tractor,tractor,tractor,tractor,tractor,tractor,tractor,tractor,tractor,tractor,tractor,tractor
24,1,0.65,700,700,10,stim/1_stim_obj24.tif,,,twine,twine,twine,twine,twine,twine,twine,twine,twine,twine,twine,twine
39,4,0.65,700,700,10,stim/4_stim_obj39.tif,,,button,button ,button,button,button,button,button,button,button,button,button ,button
71,64,0.65,700,700,10,stim/64_stim_obj71.tif,,,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet
45,256,0.65,700,700,10,stim/256_stim_obj45.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,box,box,box,box,no idea,no idea
66,256,0.65,700,700,10,stim/256_stim_obj66.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,tractor,tractor,watch,button,no idea,no idea
74,1,0.65,700,700,10,stim/1_stim_obj74.tif,,,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle
47,16,0.65,700,700,10,stim/16_stim_obj47.tif,,,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans,coffee beans
4,64,0.65,700,700,10,stim/64_stim_obj4.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,printer,no idea,no idea,printer,no idea
73,256,0.65,700,700,10,stim/256_stim_obj73.tif,,,no idea,no idea,peanuts,peanuts,peanuts,no idea,peanuts,peanuts,teddy bear,peanuts,shell ,no idea
71,4,0.65,700,700,10,stim/4_stim_obj71.tif,,,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet,outlet
32,4,0.65,700,700,10,stim/4_stim_obj32.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs
21,1,0.65,700,700,10,stim/1_stim_obj21.tif,,,table,table ,table,table,table,table,table,table,table,table ,table ,table
8,256,0.65,700,700,10,stim/256_stim_obj8.tif,,,no idea,no idea,no idea,no idea,belt,no idea,belt,no idea,no idea,no idea,no idea,no idea
55,4,0.65,700,700,10,stim/4_stim_obj55.tif,,,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather
25,64,0.65,700,700,10,stim/64_stim_obj25.tif,,,no idea,no idea,kleenex,no idea,no idea,no idea,kleenex,kleenex,kleenex,kleenex,couch ,kleenex
50,4,0.65,700,700,10,stim/4_stim_obj50.tif,,,couch,couch,couch,couch,couch,couch,couch,couch,couch,couch,couch ,couch
19,16,0.65,700,700,10,stim/16_stim_obj19.tif,,,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag
30,16,0.65,700,700,10,stim/16_stim_obj30.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs
80,64,0.65,700,700,10,stim/64_stim_obj80.tif,,,no idea,no idea,boombox,no idea,no idea,boombox,no idea,no idea,boombox,no idea,stool ,no idea
69,16,0.65,700,700,10,stim/16_stim_obj69.tif,,,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair
65,16,0.65,700,700,10,stim/16_stim_obj65.tif,,,jeans,jeans,jeans,jeans,jeans,jeans,jeans,jeans,jeans,jeans,jeans,jeans
30,64,0.65,700,700,10,stim/64_stim_obj30.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,tape,vhs,vhs,vhs
38,16,0.65,700,700,10,stim/16_stim_obj38.tif,,,no idea,bucket,bucket,no idea,bucket,bucket,bucket,scale,bucket,bucket,bucket,bucket
56,1,0.65,700,700,10,stim/1_stim_obj56.tif,,,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop,flipflop
73,1,0.65,700,700,10,stim/1_stim_obj73.tif,,,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts
74,256,0.65,700,700,10,stim/256_stim_obj74.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
33,16,0.65,700,700,10,stim/16_stim_obj33.tif,,,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,volleyball,no idea,volleyball,volleyball,volleyball,volleyball
4,256,0.65,700,700,10,stim/256_stim_obj4.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,bag,no idea,no idea,no idea,no idea,no idea
35,256,0.65,700,700,10,stim/256_stim_obj35.tif,,,no idea,no idea,birds nest,no idea,belt,no idea,belt,no idea,no idea,no idea,no idea,no idea
78,1,0.65,700,700,10,stim/1_stim_obj78.tif,,,printer,printer,printer,printer,printer,printer,printer,printer,printer,printer,printer,printer
4,1,0.65,700,700,10,stim/1_stim_obj4.tif,,,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag
48,256,0.65,700,700,10,stim/256_stim_obj48.tif,,,no idea,no idea,no idea,no idea,no idea,change,shoe,scale,no idea,no idea,no idea,no idea
62,256,0.65,700,700,10,stim/256_stim_obj62.tif,,,no idea,no idea,no idea,no idea,belt,no idea,leather desk chair,no idea,no idea,no idea,no idea,no idea
16,1,0.65,700,700,10,stim/1_stim_obj16.tif,,,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy
21,16,0.65,700,700,10,stim/16_stim_obj21.tif,,,table,table ,table,table,table,table,table ,table,table ,table ,table,table
59,16,0.65,700,700,10,stim/16_stim_obj59.tif,,,presents,presents,no idea,presents,presents,presents,presents,presents,presents,presents,presents,presents
69,64,0.65,700,700,10,stim/64_stim_obj69.tif,,,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,leather desk chair,tupperwear,leather desk chair,leather desk chair
4,16,0.65,700,700,10,stim/16_stim_obj4.tif,,,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag
25,4,0.65,700,700,10,stim/4_stim_obj25.tif,,,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex
11,4,0.65,700,700,10,stim/4_stim_obj11.tif,,,googles,no idea,googles,googles,googles,googles,googles,googles,no idea,tupperwear,googles,googles
64,16,0.65,700,700,10,stim/16_stim_obj64.tif,,,no idea,no idea,jar,no idea,no idea,jar,jar,jar,jar,jar,jar,jar
48,64,0.65,700,700,10,stim/64_stim_obj48.tif,,,change,change,change,change,change,change,change,change,change,change,change,change
76,1,0.65,700,700,10,stim/1_stim_obj76.tif,,,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot
54,256,0.65,700,700,10,stim/256_stim_obj54.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,mirror,no idea,no idea,no idea,no idea,no idea
34,1,0.65,700,700,10,stim/1_stim_obj34.tif,,,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine,washing machine
62,1,0.65,700,700,10,stim/1_stim_obj62.tif,,,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe
53,4,0.65,700,700,10,stim/4_stim_obj53.tif,,,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables
18,4,0.65,700,700,10,stim/4_stim_obj18.tif,,,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear
3,256,0.65,700,700,10,stim/256_stim_obj3.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
24,256,0.65,700,700,10,stim/256_stim_obj24.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,tupperwear,no idea,no idea,no idea,no idea,no idea
33,256,0.65,700,700,10,stim/256_stim_obj33.tif,,,no idea,no idea,volleyball,no idea,no idea,no idea,no idea,jar,no idea,volleyball,no idea,no idea
29,4,0.65,700,700,10,stim/4_stim_obj29.tif,,,toque,toque,toque,toque,toque,toque,toque,toque,toque,toque,hat,toque
51,4,0.65,700,700,10,stim/4_stim_obj51.tif,,,desk,desk ,desk,desk,desk,desk,desk,desk,desk,desk,table,desk 
80,1,0.65,700,700,10,stim/1_stim_obj80.tif,,,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox
72,16,0.65,700,700,10,stim/16_stim_obj72.tif,,,no idea,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,no idea
21,64,0.65,700,700,10,stim/64_stim_obj21.tif,,,table,table ,table,table,table,table,table ,table,table ,table ,table ,table
54,16,0.65,700,700,10,stim/16_stim_obj54.tif,,,faucet,no idea,faucet,faucet,no idea,faucet,sunglasses,no idea,faucet,no idea,faucet,faucet
38,64,0.65,700,700,10,stim/64_stim_obj38.tif,,,no idea,no idea,no idea,bucket,no idea,bucket,googles,bucket,bucket,no idea,bucket,bucket
42,1,0.65,700,700,10,stim/1_stim_obj42.tif,,,car,car,car,car,car,car,car,car,car,car,car,car
